26	0
25	0
25	0
25	0
25	0
26	0
25	0
25	0
25	28
25	180
25	216
25	193
26	163
29	146
31	134
30	135
33	140
34	214
35	224
37	211
38	190
40	166
42	147
44	127
47	113
50	99
51	94
54	88
55	83
56	78
58	75
58	72
59	66
59	75
59	72
59	72
59	76
58	75
59	75
59	66
60	66
62	64
63	57
66	54
69	48
70	39
70	35
73	37
75	33
77	33
80	32
82	27
84	23
87	20
88	21
90	26
92	18
94	17
96	20
97	14
99	15
102	14
102	16
104	21
106	14
108	14
108	18
108	12
108	6
108	11
10	7
121	10
123	15
126	7
128	4
129	3
132	7
134	7
135	10
138	9
140	14
141	6
144	4
146	7
148	7
150	5
153	5
155	3
157	5
158	3
161	0
162	9
164	4
167	6
168	3
170	5
173	5
174	6
175	4
178	3
179	7
181	5
183	6
185	1
187	7
189	5
190	6
193	1
194	5
195	6
197	14
198	7
199	8
201	5
200	5
200	1
198	5
197	13
194	4
192	4
192	14
190	7
190	5
189	2
189	5
189	5
189	6
189	7
189	14
189	5
189	7
189	4
189	4
189	5
188	6
187	7
186	5
184	8
184	5
184	8
184	3
184	3
184	0
183	6
183	8
181	6
181	3
180	0
179	1
178	3
178	5
178	10
177	4
177	4
178	6
178	4
177	1
177	2
177	6
176	9
176	4
175	3
174	4
173	0
173	0
172	1
172	4
172	9
172	7
172	1
171	2
170	3
170	7
169	4
168	3
168	3
168	0
167	2
167	3
167	3
167	4
167	3
167	7
167	3
167	3
167	3
167	3
166	1
166	4
166	6
165	3
165	6
165	0
165	3
165	7
165	0
165	0
165	3
165	6
165	1
161	4
165	0
165	3
165	6
165	1
165	3
165	2
165	9
165	4
165	5
165	0
165	1
165	1
165	7
165	0
165	5
164	3
165	4
164	3
164	2
164	3
164	5
165	0
164	1
164	1
164	4
164	0
164	0
164	6
164	3
165	3
165	3
165	0
165	0
168	3
165	0
165	9
166	0
166	0
167	3
167	1
167	0
167	1
167	0
167	0
167	3
168	3
168	0
169	2
169	3
169	0
170	0
170	0
170	3
171	1
171	1
171	0
171	0
172	2
172	0
172	0
172	5
172	0
173	3
174	0
174	0
175	6
175	2
175	1
175	0
175	3
175	1
176	2
177	2
177	0
178	2
178	3
179	0
179	0
180	2
180	0
180	3
181	4
181	1
181	5
182	6
182	0
183	0
183	0
184	2
185	1
185	1
186	0
186	2
187	0
187	0
187	3
187	1
188	5
188	1
188	7
188	0
188	0
188	6
189	0
189	0
189	0
189	11
189	6
189	1
189	0
189	0
189	2
189	0
189	0
189	0
190	3
190	2
190	2
190	0
190	0
190	0
190	3
190	0
190	2
190	0
190	0
191	4
191	9
192	2
192	2
194	6
193	1
193	1
193	0
193	1
194	6
193	0
194	0
194	0
194	5
194	4
195	0
195	1
195	0
195	2
195	1
195	2
195	2
196	0
196	0
196	0
196	0
196	0
197	0
197	1
198	0
198	3
198	1
198	3
198	0
199	0
199	3
199	0
199	0
199	0
200	2
200	0
200	0
201	2
201	1
201	0
201	0
201	2
201	0
201	4
202	0
202	1
202	1
203	0
203	0
203	0
204	4
204	10
204	0
205	1
205	0
205	0
205	0
205	2
206	3
206	0
206	1
207	4
207	0
207	0
207	3
207	0
207	0
207	0
207	1
207	1
208	1
207	2
207	0
208	1
207	0
208	1
207	0
207	0
207	0
208	1
207	0
207	5
208	0
208	0
207	7
207	0
208	0
207	0
208	4
207	0
207	1
207	1
207	0
208	1
207	4
207	7
207	0
208	3
207	1
207	6
207	0
208	0
207	1
207	0
207	1
208	1
208	1
207	0
207	4
207	1
208	6
207	0
207	0
207	4
208	0
208	0
207	0
207	0
207	0
207	8
207	0
207	1
208	1
207	0
207	0
207	2
207	1
207	1
207	0
207	0
207	0
207	9
207	0
207	3
207	0
207	1
208	0
208	0
207	0
207	0
207	0
208	1
208	0
207	0
208	0
208	0
208	1
208	1
207	3
208	0
207	0
207	1
207	0
207	0
207	0
207	0
207	0
207	0
timestep	2000
throw_close_time	19
vent_open_time	99
